TimeDelta,Length,Port,Protocol,Length,Info
0.000232,103,40178,TCP,103,"3268  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000228,103,40178,TCP,103,"2035  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000389,103,40178,TCP,103,"497  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000238,103,40178,TCP,103,"13722  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000153,109,2034,TCP,109,40178  >  2034 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,103,40178,TCP,103,"1152  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000152,103,40178,TCP,103,"3324  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000153,103,40178,TCP,103,"2030  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000152,103,40178,TCP,103,"6510  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000154,109,2034,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  2034 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.00015,103,40178,TCP,103,"3005  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000158,103,40178,TCP,103,"1287  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000152,103,40178,TCP,103,"3871  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,103,40178,TCP,103,"3268  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000153,103,40178,TCP,103,"2035  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,103,40178,TCP,103,"497  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,103,40178,TCP,103,"13722  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,109,2034,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  2034 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000228,109,9502,TCP,109,40178  >  9502 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,109,8100,TCP,109,40178  >  8100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000232,103,40178,TCP,103,"2034  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000153,109,1974,TCP,109,40178  >  1974 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000153,109,9502,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  9502 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,103,40178,TCP,103,"2034  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,109,8100,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  8100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000152,109,1974,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  1974 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000368,109,366,TCP,109,40178  >  366 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.00008,109,366,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  366 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000153,109,8083,TCP,109,40178  >  8083 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000077,103,40178,TCP,103,"9502  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000078,103,40178,TCP,103,"9502  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000154,103,40178,TCP,103,"8100  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000231,103,40178,TCP,103,"1974  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.00015,109,366,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  366 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000146,103,40178,TCP,103,"9502  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000146,103,40178,TCP,103,"8100  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000145,103,40178,TCP,103,"1974  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000219,109,8083,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  8083 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000146,109,55555,TCP,109,40178  >  55555 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000074,103,40178,TCP,103,"366  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000146,109,8083,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  8083 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000147,103,40178,TCP,103,"366  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000228,109,55555,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  55555 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000146,109,4006,TCP,109,40178  >  4006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000219,109,55555,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  55555 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000147,109,4006,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  4006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000227,109,8082,TCP,109,40178  >  8082 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000156,109,44176,TCP,109,40178  >  44176 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000152,109,3914,TCP,109,40178  >  3914 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000149,109,8082,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  8082 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000315,109,44176,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  44176 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000146,109,3914,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  3914 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000219,103,40178,TCP,103,"8083  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000146,103,40178,TCP,103,"55555  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
