TimeDelta,Length,Port,Attack
0.000145000,109,1002,1
0.000145000,103,40178,1
0.000146000,103,40178,1
0.000265000,109,700,1
0.000145000,109,1805,1
0.000144000,109,14238,1
0.000195000,109,700,1
0.000146000,109,1805,1
0.000143000,109,14238,1
0.000218000,109,2179,1
0.000198000,109,6668,1
0.000145000,109,2179,1
0.000145000,109,6668,1
0.000217000,109,44501,1
0.000123000,103,40178,1
0.000072000,103,40178,1
0.000072000,103,40178,1
0.000143000,103,40178,1
0.000218000,103,40178,1
0.000312000,103,40178,1
0.000217000,103,40178,1
0.000217000,103,40178,1
0.000217000,103,40178,1
0.000218000,103,40178,1
0.000188000,109,44501,1
0.000073000,109,44501,1
0.000545000,103,40178,1
0.000361000,103,40178,1
0.000148000,103,40178,1
0.000145000,103,40178,1
0.000212000,103,40178,1
0.000145000,103,40178,1
0.000148000,103,40178,1
0.000145000,103,40178,1
0.000145000,103,40178,1
0.000278000,109,44501,1
0.000146000,109,5987,1
0.000146000,109,44501,1
0.000146000,109,5987,1
0.000311000,109,32772,1
0.000146000,109,1096,1
0.000149000,109,5280,1
0.000142000,109,32772,1
0.000150000,109,1096,1
0.000149000,109,5280,1
0.000314000,109,146,1
0.000144000,109,7800,1
0.000143000,103,40178,1
0.000221000,103,40178,1
0.000220000,103,40178,1
0.000218000,103,40178,1
0.000148000,103,40178,1
0.000073000,103,40178,1
0.000076000,103,40178,1
0.000073000,103,40178,1
0.000072000,103,40178,1
0.000128000,103,40178,1
0.000150000,103,40178,1
0.000074000,103,40178,1
0.000072000,103,40178,1
0.000073000,103,40178,1
0.000073000,103,40178,1
0.000078000,103,40178,1
0.000145000,103,40178,1
0.000204000,103,40178,1
0.000072000,103,40178,1
0.000073000,103,40178,1
0.000073000,109,6567,1
0.000288000,103,40178,1
0.000270000,103,40178,1
0.000144000,103,40178,1
0.000145000,103,40178,1
0.000146000,103,40178,1
0.000198000,103,40178,1
0.000144000,103,40178,1
0.000217000,109,6567,1
0.000145000,109,5850,1
0.000253000,109,2001,1
0.000157000,109,6567,1
0.000158000,109,5850,1
0.000147000,109,2001,1
0.000217000,109,1117,1
0.000205000,109,16016,1
0.000147000,109,1117,1
0.000506000,109,1163,1
0.000213000,109,2121,1
0.000147000,109,1163,1
0.000145000,109,2121,1
0.000224000,103,40178,1
0.000219000,103,40178,1
0.000217000,103,40178,1
0.000313000,103,40178,1
0.000216000,103,40178,1
0.000143000,109,1001,1
0.000287000,103,40178,1
0.000144000,103,40178,1
0.000210000,103,40178,1
0.000151000,103,40178,1
0.000150000,109,1001,1
0.000144000,103,40178,1
0.000149000,103,40178,1
0.000146000,103,40178,1
0.000148000,103,40178,1
0.000144000,103,40178,1
0.000218000,109,50002,1
0.000207000,103,40178,1
0.000146000,109,50002,1
0.000145000,103,40178,1
0.000293000,109,1113,1
0.000149000,109,5679,1
0.000159000,109,5679,1
0.000205000,103,40178,1
0.000147000,103,40178,1
0.000073000,103,40178,1
0.000193000,103,40178,1
0.000072000,103,40178,1
0.000300000,109,7002,1
0.000117000,109,7002,1
0.000583000,103,40178,1
0.000222000,109,7002,1
0.000335000,109,32781,1
0.000149000,109,7002,1
0.000149000,109,32781,1
0.000275000,109,3918,1
0.000144000,109,3371,1
0.000201000,109,3918,1
0.000149000,109,3371,1
0.000216000,109,49,1
0.000202000,109,1028,1
0.000143000,109,8090,1
0.000148000,109,49,1
0.000146000,109,1028,1
0.000151000,109,8090,1
0.000275000,109,1533,1
0.000143000,109,26214,1
0.000145000,109,26214,1
0.000275000,103,40178,1
0.000145000,103,40178,1
0.000220000,103,40178,1
0.000223000,103,40178,1
0.000317000,103,40178,1
0.000223000,103,40178,1
0.000217000,103,40178,1
0.000227000,103,40178,1
0.000220000,103,40178,1
0.000145000,103,40178,1
0.000252000,103,40178,1
0.000143000,103,40178,1
0.000143000,103,40178,1
0.000143000,103,40178,1
0.000143000,103,40178,1
0.000145000,103,40178,1
0.000146000,103,40178,1
0.000145000,103,40178,1
0.000211000,109,17877,1
0.000152000,109,5962,1
0.000155000,109,17877,1
0.000282000,109,5962,1
0.000218000,109,7741,1
0.000146000,109,1066,1
0.000215000,103,40178,1
0.000140000,103,40178,1
0.000210000,103,40178,1
0.000210000,103,40178,1
0.000697000,109,49175,1
0.000291000,109,3493,1
0.000206000,109,3851,1
0.000191000,109,7070,1
0.000356000,109,1066,1
0.000193000,109,49175,1
0.000144000,109,3493,1
0.000144000,109,3851,1
0.000238000,109,7070,1
0.000144000,103,40178,1
0.000143000,103,40178,1
0.000144000,103,40178,1
0.000142000,103,40178,1
0.000274000,109,1271,1
0.000145000,109,21571,1
0.000146000,109,33354,1
0.000145000,109,1271,1
0.000142000,109,21571,1
0.000145000,109,33354,1
0.000311000,109,3322,1
0.000144000,109,1186,1
0.000143000,109,5431,1
0.000142000,109,3322,1
0.000144000,109,1186,1
0.000144000,109,5431,1
0.000282000,109,8500,1
0.000146000,103,40178,1
0.000221000,103,40178,1
0.000231000,103,40178,1
