TimeDelta,Length,Port,Attack
0.001616000,115,443,0
0.060542000,217,36646,0
0.000194000,225,36646,0
0.000162000,208,36646,0
0.001284000,1533,36646,0
0.000201000,1533,36646,0
0.000221000,1533,36646,0
0.000148000,176,36646,0
0.000501000,115,443,0
0.000274000,115,443,0
0.000298000,115,443,0
0.000223000,115,443,0
0.000191000,115,443,0
0.000218000,115,443,0
0.000191000,1533,36646,0
0.000145000,1533,36646,0
0.000424000,1533,36646,0
0.000195000,245,36646,0
0.000281000,115,443,0
0.000148000,115,443,0
0.001022000,1533,36646,0
0.000199000,1533,36646,0
0.000225000,1533,36646,0
0.000146000,223,36646,0
0.000513000,1533,36646,0
0.001544000,1533,36646,0
0.000153000,1533,36646,0
0.000790000,115,443,0
0.002795000,115,443,0
0.000169000,115,443,0
0.000833000,1533,36646,0
0.000246000,1533,36646,0
0.000333000,1533,36646,0
0.000618000,1533,36646,0
0.000191000,160,36646,0
0.000209000,1533,36646,0
0.000698000,1533,36646,0
0.000152000,145,36646,0
0.000196000,1533,36646,0
0.000441000,1533,36646,0
0.000267000,1533,36646,0
0.000143000,233,36646,0
0.000193000,1533,36646,0
0.000816000,1533,36646,0
0.000243000,1380,36646,0
0.000151000,182,36646,0
0.000199000,337,36646,0
0.000356000,248,36646,0
0.004673000,115,443,0
0.001539000,115,443,0
0.000121000,115,443,0
0.000725000,115,443,0
0.001609000,115,443,0
0.001144000,115,443,0
0.019912000,115,443,0
0.000237000,115,443,0
0.007030000,115,443,0
0.000193000,115,443,0
0.005680000,154,443,0
0.033107000,115,36646,0
0.000197000,115,36646,0
0.482437000,429,80,0
0.034898000,198,51749,0
0.003358000,115,80,0
1.863168000,172,443,0
0.000269000,154,443,0
0.000144000,154,443,0
0.000192000,839,443,0
0.032575000,115,54336,0
0.000203000,115,54336,0
0.000148000,154,54336,0
0.009088000,115,54336,0
0.000127000,115,54336,0
0.032608000,115,443,0
0.051057000,180,54336,0
0.000202000,491,54336,0
0.001602000,161,54336,0
0.000127000,161,54336,0
0.000545000,161,54336,0
0.000740000,115,443,0
0.000314000,115,443,0
0.000259000,161,54336,0
0.000443000,161,54336,0
0.000581000,161,54336,0
0.000666000,161,54336,0
0.000189000,154,54336,0
0.001137000,115,443,0
0.000319000,115,443,0
0.002401000,154,443,0
0.000125000,154,443,0
0.002639000,154,443,0
0.000379000,154,443,0
0.000385000,154,443,0
0.029614000,115,54336,0
2.334103000,216,443,0
0.004045000,154,443,0
0.000120000,154,443,0
0.000214000,881,443,0
0.016926000,176,443,0
0.000384000,1483,443,0
0.000469000,1483,443,0
0.000271000,262,443,0
0.000279000,1483,443,0
0.000272000,1097,443,0
0.032689000,115,54336,0
0.005466000,115,54336,0
0.000506000,115,39564,0
0.004649000,115,39564,0
0.000202000,115,39564,0
0.000147000,154,39564,0
0.034272000,115,443,0
0.057389000,181,39564,0
0.000199000,280,39564,0
0.000282000,395,39564,0
0.000148000,154,39564,0
0.000489000,115,443,0
0.001774000,115,443,0
0.000321000,115,443,0
0.014356000,154,443,0
0.126363000,1483,443,0
0.000116000,1483,443,0
0.000119000,1483,443,0
0.002003000,1483,443,0
0.036747000,115,54336,0
0.000126000,115,54336,0
0.001609000,262,443,0
0.000380000,1483,443,0
0.037370000,115,54336,0
0.000202000,115,54336,0
0.000771000,1097,443,0
0.039390000,115,54336,0
0.062445000,429,80,0
0.036887000,180,54336,0
0.000204000,283,54336,0
0.000278000,358,54336,0
0.000196000,154,54336,0
0.000262000,115,443,0
0.002625000,115,443,0
0.001011000,198,51749,0
